Word,Concreteness,Frequency,Dom_Pos
sled,5.0,149,Adjective
plunger,4.96,48,Adjective
human,4.93,6363,Adjective
waterbed,4.93,27,Adjective
cymbal,4.92,13,Adjective
ginger,4.92,327,Adjective
bobsled,4.9,48,Adjective
cardboard,4.9,138,Adjective
olive,4.9,375,Adjective
dogsled,4.89,2,Adjective
rubber,4.86,714,Adjective
soybean,4.82,25,Adjective
tangerine,4.81,38,Adjective
headrest,4.8,6,Adjective
eucalyptus,4.77,25,Adjective
saltwater,4.77,31,Adjective
armrest,4.76,8,Adjective
paramedic,4.74,107,Adjective
liquid,4.72,395,Adjective
billfold,4.71,12,Adjective
canine,4.71,86,Adjective
flowerbed,4.71,6,Adjective
soy,4.7,118,Adjective
bald,4.69,496,Adjective
lilac,4.69,39,Adjective
hemorrhoid,4.68,18,Adjective
orange,4.66,1138,Adjective
arachnid,4.65,13,Adjective
underarm,4.63,4,Adjective
barefoot,4.62,121,Adjective
bearded,4.62,65,Adjective
thyroid,4.61,28,Adjective
wooden,4.61,367,Adjective
sleeveless,4.6,5,Adjective
concrete,4.59,379,Adjective
panty,4.59,53,Adjective
pregnant,4.59,2653,Adjective
helmeted,4.58,1,Adjective
hula,4.58,100,Adjective
female,4.57,1612,Adjective
crematory,4.56,14,Adjective
pigtailed,4.55,2,Adjective
sphincter,4.54,57,Adjective
backrest,4.52,1,Adjective
blonde,4.52,710,Adjective
farmhand,4.52,3,Adjective
fat,4.52,4051,Adjective
hairless,4.52,30,Adjective
afghan,4.5,29,Adjective
binocular,4.5,1,Adjective
naked,4.5,2002,Adjective
hairy,4.48,322,Adjective
saline,4.48,175,Adjective
sudsy,4.48,3,Adjective
wet,4.46,2000,Adjective
wooded,4.46,17,Adjective
male,4.45,1731,Adjective
rusted,4.44,36,Adjective
aquamarine,4.43,23,Adjective
shirtless,4.43,14,Adjective
headless,4.42,67,Adjective
solid,4.42,998,Adjective
beaded,4.41,11,Adjective
blond,4.41,533,Adjective
soapy,4.41,25,Adjective
woodcutting,4.41,1,Adjective
prosthetic,4.4,34,Adjective
roast,4.4,499,Adjective
tartar,4.4,76,Adjective
newborn,4.39,128,Adjective
feline,4.38,46,Adjective
undercooked,4.38,9,Adjective
vertebrate,4.38,7,Adjective
bloodstained,4.37,16,Adjective
flatbed,4.37,21,Adjective
joint,4.37,1405,Adjective
preschool,4.37,61,Adjective
beardless,4.36,8,Adjective
indigo,4.36,16,Adjective
frozen,4.34,782,Adjective
barefooted,4.33,9,Adjective
hashish,4.33,23,Adjective
jeweled,4.33,15,Adjective
mummified,4.33,14,Adjective
paralegal,4.33,50,Adjective
pleated,4.33,4,Adjective
puffy,4.33,86,Adjective
grassy,4.32,32,Adjective
muddy,4.32,153,Adjective
mustached,4.32,1,Adjective
rainy,4.32,194,Adjective
roundtable,4.32,3,Adjective
uncircumcised,4.32,14,Adjective
acrylic,4.31,23,Adjective
bottled,4.31,133,Adjective
hot,4.31,9682,Adjective
sunlit,4.31,9,Adjective
euro,4.3,31,Adjective
giant,4.3,1380,Adjective
